ECO_ID,ECO_NAME,plant_diversity
40210.0,Southeastern Indochina dry evergreen forests,1888.717885711745
40211.0,Southern Vietnam lowland dry forests,2980.402624306596
40212.0,Sri Lanka dry-zone dry evergreen forests,1286.62094105105
40301.0,Himalayan subtropical pine forests,2019.6402395872503
40302.0,Luzon tropical pine forests,3628.448206136035
40303.0,Northeast India-Myanmar pine forests,2574.782339391662
40304.0,Sumatran tropical pine forests,3253.5458160817357
40401.0,Eastern Himalayan broadleaf forests,2255.4947297500116
40402.0,Northern Triangle temperate forests,2380.6797556235656
40403.0,Western Himalayan broadleaf forests,1655.7323339632721
40501.0,Eastern Himalayan subalpine conifer forests,2012.0712397900334
40502.0,Western Himalayan subalpine conifer forests,1548.396865301313
40701.0,Terai-Duar savanna and grasslands,1908.5495350276092
40901.0,Rann of Kutch seasonal salt marsh,447.89409827831776
41001.0,Kinabalu montane alpine meadows,4236.412002208782
41301.0,Deccan thorn scrub forests,800.9721838958329
41302.0,Indus Valley desert,538.9176132474219
41303.0,Northwestern thorn scrub forests,658.9062591883427
41304.0,Thar desert,353.52905525143376
41401.0,Goadavari-Krishna mangroves,964.0194457391343
41402.0,Indochina mangroves,1281.9473897465982
41403.0,Indus River Delta-Arabian Sea mangroves,526.4386241920663
41404.0,Myanmar Coast mangroves,1503.4478985020737
41405.0,Sunda Shelf mangroves,1751.7157915675014
41406.0,Sundarbans mangroves,1169.9673532683335
50201.0,Sonoran-Sinaloan transition subtropical dry forest,1233.6290139375626
50302.0,Sierra Madre Occidental pine-oak forests,1838.727867191577
50303.0,Sierra Madre Oriental pine-oak forests,1995.446307746678
50401.0,Allegheny Highlands forests,1067.2056424257598
50402.0,Appalachian mixed mesophytic forests,1291.7017710962393
50403.0,Appalachian-Blue Ridge forests,1395.0279556104106
50404.0,Central U.S. hardwood forests,1266.8261680203536
50405.0,East Central Texas forests,1023.4076678852391
50406.0,Eastern forest-boreal transition,869.1776352463994
50407.0,Eastern Great Lakes lowland forests,1127.3563707811347
50408.0,Gulf of St. Lawrence lowland forests,856.7393954161975
50409.0,Mississippi lowland forests,1381.0557886767733
50410.0,New England-Acadian forests,943.3464949998292
50411.0,Northeastern coastal forests,1254.1567179565259
50412.0,Ozark Mountain forests,1379.0651340237557
